DateTime,Open,High,Low,Close
2020-09-09 12:00:00,42700,42899,42500,42845
2020-09-09 13:00:00,42845,42900,42759,42849
2020-09-09 14:00:00,42690,42847,42523,42829
2020-09-09 15:00:00,42830,42850,42799,42850
2020-09-09 16:00:00,42850,42850,42709,42849
2020-09-09 17:00:00,42848,42849,42709,42849
2020-09-09 18:00:00,42849,42900,42700,42850
2020-09-09 19:00:00,42850,43248,42850,43199
2020-09-09 20:00:00,43199,43220,42935,43199
2020-09-09 21:00:00,43199,43250,43150,43250
2020-09-09 22:00:00,43250,43499,43250,43498
2020-09-09 23:00:00,43498,43680,43498,43680
2020-09-10 00:00:00,43680,44000,43500,44000
2020-09-10 01:00:00,44000,44200,43966,43998
2020-09-10 02:00:00,44000,44101,44000,44101
2020-09-10 03:00:00,44177,44198,43977,43978
2020-09-10 04:00:00,43978,43978,43978,43978
2020-09-10 05:00:00,43978,44155,43977,43985
2020-09-10 06:00:00,43985,44088,43985,44015
2020-09-10 07:00:00,44050,44050,43688,43689
2020-09-10 08:00:00,43689,44460,43689,44444
2020-09-10 09:00:00,44151,44442,43689,44001
2020-09-10 10:00:00,44430,44431,43999,44081
2020-09-10 11:00:00,44081,44277,44080,44080
2020-09-10 12:00:00,44080,44190,44001,44190
2020-09-10 13:00:00,44189,44200,44101,44178
2020-09-10 14:00:00,44177,44199,43760,43905
2020-09-10 15:00:00,43896,44007,43757,44007
2020-09-10 16:00:00,43974,44005,43696,43697
2020-09-10 17:00:00,43697,43980,43696,43879
2020-09-10 18:00:00,43797,43880,43796,43880
2020-09-10 19:00:00,43838,43880,43800,43880
2020-09-10 20:00:00,43880,44000,43711,43955
2020-09-10 21:00:00,43898,44149,43898,44149
2020-09-10 22:00:00,44148,44420,44148,44344
2020-09-10 23:00:00,44345,44345,44001,44199
2020-09-11 00:00:00,44199,44199,44139,44139
2020-09-11 01:00:00,44140,44140,43901,43901
2020-09-11 02:00:00,43901,43901,43755,43755
2020-09-11 03:00:00,43755,43755,43755,43755
2020-09-11 04:00:00,43755,43828,43755,43781
2020-09-11 05:00:00,43780,43781,43780,43781
2020-09-11 06:00:00,43781,43842,43750,43842
2020-09-11 07:00:00,43841,43841,43750,43780
2020-09-11 08:00:00,43780,44196,43780,44172
2020-09-11 09:00:00,44070,44070,43695,43715
2020-09-11 10:00:00,43717,43718,43501,43502
2020-09-11 11:00:00,43502,43502,43335,43356
2020-09-11 12:00:00,43356,43502,43282,43313
2020-09-11 13:00:00,43313,43794,43312,43789
2020-09-11 14:00:00,43789,43789,43321,43581
2020-09-11 15:00:00,43580,43810,43335,43610
2020-09-11 16:00:00,43610,43798,43361,43388
2020-09-11 17:00:00,43738,43751,43409,43716
2020-09-11 18:00:00,43715,43794,43617,43694
2020-09-11 19:00:00,43601,43706,43600,43631
2020-09-11 20:00:00,43601,43795,43431,43481
2020-09-11 21:00:00,43500,43820,43500,43820
2020-09-11 22:00:00,43683,43819,43683,43798
2020-09-11 23:00:00,43799,43800,43798,43800
2020-09-12 00:00:00,43800,44000,43800,43999
